word;clarification;classification;endіngs;and;look;from;vars;but
Інбелку́льт;Інстыту́т Белару́скай Культу́ры;;;;;;;
КГБ;;;;;;;;
КНДР;Карэ́йская Наро́дна-Дэмакраты́чная Рэспу́бліка;;;;;;;
КНР;Кіта́йская Наро́дная Рэспу́бліка;;;;;;;
КПБ;Камуністы́чная Па́ртыя Белару́сі;;;;;;;
КПЗ;ка́мэра папярэ́дняга заключэ́ньня;;;;;;;
КПЗБ;Камуністы́чная Па́ртыя Захо́дняй Белару́сі;;;;;;;
КПП;кантро́льна-прапускны́ пункт;;;;;;;
КПСС;Камуністы́чная Па́ртыя Саве́цкага Саю́зу;;;;;;;
ЛіМ;“Літарату́ра і Маста́цтва”;;;;;;;
лясга́с;лясна́я гаспада́рка;;-су;;;;;
МАЗ;Ме́нскі Аўтамабі́льны Заво́д;;;;;;;
МЗС;Міністэ́рства Заме́жных Спра́ваў;;;;;;;
мінабаро́ны;міністэ́рства абаро́ны;;;;;;;
мі́на́тамэнэ́рґа;міністэ́рства а́тамнай энэрґе́тыкі;;;;;;;
мінку́льт;міністэ́рства культу́ры;;-ту;;;;;
МУС;Міністэ́рства Ўну́траных Спра́ваў;;;;;;;
нампалі́т;наме́сьнік паліты́чнага кіраўніка́;;-та;;;;;
НАН;Нацыяна́льная Акадэ́мія Наву́к;;;;;;;
наркама́т;наро́дны камісарыя́т;;;;;;;
нарыхтканто́ра;нарыхто́ўчая канто́ра;;;;;;;
нацдэ́м;нацыяна́льны дэмакра́т;;-ма;;;;;
нацме́н;прадстаўні́к нацыяна́льнае ме́ншасьці;;-на;;;;;
начсаста́ў;нача́льніцкі саста́ў;;-та́ву;;;;;
НДІ;навуко́ва-дасьле́дны інстыту́т;;;;;;;
НКВД;<i>рас.</i> Наро́дны Камісарыя́т Уну́траных Спра́ваў;;;;;;;
НРМ;Наро́дная Рэспу́бліка Мро́я;;;;;;;
НСДАП;<i>ням.</i> Нацыяна́льна-Сацыялісты́чная Рабо́чая Па́ртыя Няме́ччыны;;;;;;;
нэп;но́вая эканамі́чная палі́тыка;;нэ́пу;;;;;
ПАРП;По́льская Аб’ядна́ная Рабо́чая Па́ртыя;;;;;;;
ПДВ;паве́трана-дэса́нтныя во́йскі;;;;;;;
ПНР;По́льская Наро́дная Рэспу́бліка;;;;;;;
ППРБ;Пе́ршы Прэзыдэ́нт Рэспу́блікі Белару́сь;;;;;;;
ППС;По́льская Па́ртыя Сацыялісты́чная;;;;;;;
ПТВ;прафэсі́йна-тэхні́чная вучэ́льня;;;;;;;
раддо́м;радзі́льны дом;;-му;;;;;
райана́;раё́нны аддзе́л наро́днай адука́цыі;<i>нязьм.</i>;;;;;;
райвыканка́м;раё́нны выкана́ўчы камітэ́т;;-му;;;;;
райка́м;раё́нны камітэ́т;;-му;;;;;
райпрамкамбіна́т;раё́нны прамысло́вы камбіна́т;;-ту;;;;;
райсаве́т;раё́нны саве́т;;-ту;;;;;
райспажыўсаю́з;раё́нны спажыве́цкі саю́з;;-зу;;;;;
райфо́;раё́нны фіна́нсавы аддзе́л;<i>нязьм.</i>;;;;;;
РАУС;раё́нны аддзе́л уну́траных спра́ваў;;;;;;;
РБ;Рэспу́бліка Белару́сь, Рэспу́блікі Белару́сі;;;;;;;
РДК;раё́нны дом культу́ры;;;;;;;
РФ;Расе́йская Фэдэра́цыя;;;;;;;
сабе́с;аддзе́л сацыя́льнага забесьпячэ́ньня;;-су;;;;;
сандзе́нь;саніта́рны дзень;;-дня́;;;;;
саўга́с;саве́цкая гаспада́рка;;-су;;;;;
СБМ;Саю́з Белару́скай Мо́ладзі;;;;;;;
сельпо́;се́льскае спажыве́цкае тавары́ства;<i>нязьм., н.</i>;;;;;;
СІЗА́;сьле́дчы ізаля́тар;;;;;;;
СМІ;сро́дкі ма́савай інфарма́цыі;;;;;;;
СНГ;<i>рас.</i> Садру́жнасьць Незале́жных Дзяржа́ваў;;;;;;;
СП;Саю́з Пісьме́ньнікаў;;;;;;;
СПб;Санкт-Пецярбу́рг;;;;;;;
СССР;Саю́з Саве́цкіх Сацыялісты́чных Рэспу́блік;;;;;;;
страйка́м;стра́йкавы камітэ́т;;-му;;;;;
сьмерш;сьмерць шпіё́нам;;сьме́ршу;;;;;
ТБК;Тавары́ства Белару́скай Культу́ры;;;;;;;
ТБМ;Тавары́ства Белару́скай Мо́вы;;;;;;;
ТБШ;Тавары́ства Белару́скай Шко́лы;;;;;;;
тэра́кт;тэрарысты́чны акт;;-ту;;;;;
УНА-УНСО;;;;;;;;
ЦК;Цэнтра́льны Камітэ́т;;;;;;;
ЦРУ;Цэнтра́льная Разьве́двальная Ўпра́ва;;;;;;;
ЧАЭ́С;Чарно́быльская, а́тамная электраста́нцыя;;;;;;;
ЭЛіМбе́л;Энцыкляпэ́дыя Літарату́ры і Маста́цтва Белару́сі;;;;;;;
Э́ЛТА;Літо́ўскае Тэлеґра́фнае Аґе́нцтва;;;;;;;
эндэ́к;нацыяна́л-дэмакра́т;;-ка;;;;;
эсбээ́м;Саю́з Белару́скай Мо́ладзі;;-му;;;;;
эсдэ́к;сацыя́л-дэмакра́т;;-ка;;;;;
